Company,Total_Employees,Industry,Website,Funding_Date,Funding_Type,Extraction_Time,Page
Rembrand,56,0,http://www.rembrand.com,2-Jan-25,Series A,2025-04-14 01:50:38,1
Wurthy,13,0,http://www.wurthy.co,30-Dec-24,Seed,2025-04-14 01:50:38,1
Frontier Bio,14,research,http://www.frontierbio.com,25-Dec-24,Seed,2025-04-14 01:50:38,1
Courtyard,28,0,http://www.courtyard.io,23-Dec-24,Venture - Series Unknown,2025-04-14 01:50:38,1
Pasadena Private Lending,9,financial services,http://www.pasadena-private-lending.com,19-Dec-24,Debt Financing,2025-04-14 01:50:38,1
Tenor,5,information technology & services,http://www.tenorhq.com,19-Dec-24,Seed,2025-04-14 01:50:38,1
Earli,37,research,http://www.earli.com,19-Dec-24,Undisclosed,2025-04-14 01:50:38,1
Child Family Health International,68,nonprofit organization management,http://www.cfhi.org,19-Dec-24,Grant,2025-04-14 01:50:38,1
SandboxAQ,290,information technology & services,http://www.sandboxaq.com,18-Dec-24,Private Equity,2025-04-14 01:50:38,1
Plume Network,29,information technology & services,http://www.plumenetwork.xyz,18-Dec-24,Series A,2025-04-14 01:50:38,1
Hamming AI,12,0,http://www.hamming.ai,18-Dec-24,Seed,2025-04-14 01:50:38,1
CourtScribes,21,legal services,http://www.courtscribes.com,18-Dec-24,Undisclosed,2025-04-14 01:50:38,1
Perplexity,300,information technology & services,http://www.perplexity.ai,18-Dec-24,Private Equity,2025-04-14 01:50:38,1
Lyten,290,mechanical or industrial engineering,http://www.lyten.com,18-Dec-24,Debt Financing,2025-04-14 01:50:38,1
Fairbanc,38,information technology & services,http://www.fairbanc.app,18-Dec-24,Debt Financing,2025-04-14 01:50:38,1
Mojave Energy Systems,40,machinery,http://www.mojavehvac.com,18-Dec-24,Series A,2025-04-14 01:50:38,1
Fraction AI,6,information technology & services,http://www.fractionai.xyz,18-Dec-24,Pre-Seed,2025-04-14 01:50:38,1
Schwarm Technologies Inc.,27,information technology & services,http://www.schwarm.com,17-Dec-24,Undisclosed,2025-04-14 01:50:39,1
Landbase,45,0,http://www.landbase.com,17-Dec-24,Venture - Series Unknown,2025-04-14 01:50:39,1
Acre,15,real estate,http://www.acrehomes.com,17-Dec-24,Seed,2025-04-14 01:50:39,1
Finexio,72,information technology & services,http://www.finexio.com,17-Dec-24,Debt Financing,2025-04-14 01:51:27,2
Anatomy Financial,20,0,http://www.anatomy.com,17-Dec-24,Series A,2025-04-14 01:51:27,2
Serverfarm,130,information technology & services,http://www.serverfarmllc.com,17-Dec-24,Debt Financing,2025-04-14 01:51:27,2
Flair,19,electrical/electronic manufacturing,http://www.flair.co,17-Dec-24,Venture - Series Unknown,2025-04-14 01:51:27,2
Leapfin,30,information technology & services,http://www.leapfin.com,17-Dec-24,Debt Financing,2025-04-14 01:51:27,2
Parafin,100,financial services,http://www.parafin.com,17-Dec-24,Series C,2025-04-14 01:51:27,2
Indapta Therapeutics,22,biotechnology,http://www.indapta.com,17-Dec-24,Venture - Series Unknown,2025-04-14 01:51:27,2
Xcell Biosciences,29,research,http://www.xcellbio.com,17-Dec-24,Undisclosed,2025-04-14 01:51:27,2
Jiko,84,financial services,http://www.jiko.com,12-Dec-24,Series C,2025-04-14 01:51:27,2
One,1200,financial services,http://www.one.app,12-Dec-24,Venture - Series Unknown,2025-04-14 01:51:27,2
Evinced,91,information technology & services,http://www.evinced.com,12-Dec-24,Series C,2025-04-14 01:51:27,2
Twelve Labs,81,information technology & services,http://www.twelvelabs.io,12-Dec-24,Venture - Series Unknown,2025-04-14 01:51:27,2
Terradot,29,environmental services,http://www.terradot.earth,12-Dec-24,Series A,2025-04-14 01:51:27,2
Cartesia,27,information technology & services,http://www.cartesia.ai,12-Dec-24,Venture - Series Unknown,2025-04-14 01:51:27,2
Vantis Vascular,9,medical devices,http://www.vantisvascular.com,12-Dec-24,Series B,2025-04-14 01:51:27,2
Alessa Therapeutics,13,research,http://www.alessatherapeutics.com,12-Dec-24,Seed,2025-04-14 01:51:27,2
Gigs,130,0,http://www.gigs.com,12-Dec-24,Series B,2025-04-14 01:51:27,2
Immi,25,food & beverages,http://www.immieats.com,12-Dec-24,Undisclosed,2025-04-14 01:51:27,2
Albert Invent,120,information technology & services,http://www.albertinvent.com,11-Dec-24,Series A,2025-04-14 01:51:27,2
Strategic Venue Partners,24,wireless,http://www.strategicvenue.com,11-Dec-24,Private Equity,2025-04-14 01:51:27,2
Parsec Education,35,government administration,http://www.parseceducation.com,11-Dec-24,Series A,2025-04-14 01:53:07,3
Saltmine,120,information technology & services,http://www.saltmine.com,11-Dec-24,Series A,2025-04-14 01:53:07,3
NeuBird,15,0,http://www.neubird.ai,11-Dec-24,Seed,2025-04-14 01:53:07,3
Aimon Labs,6,information technology & services,http://www.aimon.ai,11-Dec-24,Pre-Seed,2025-04-14 01:53:07,3
Ayar Labs,170,computer hardware,http://www.ayarlabs.com,11-Dec-24,Series D,2025-04-14 01:53:07,3
Vapi,34,information technology & services,http://www.vapi.ai,11-Dec-24,Series A,2025-04-14 01:53:07,3
EzDubs,7,information technology & services,http://www.ezdubs.ai,11-Dec-24,Seed,2025-04-14 01:53:07,3
Capstan Medical,39,medical devices,http://www.capstanmedical.com,11-Dec-24,Series C,2025-04-14 01:53:07,3
Reveal Technology,50,information technology & services,http://www.revealtech.ai,11-Dec-24,Series A,2025-04-14 01:53:07,3
Tosi,24,food & beverages,http://www.tosi.com,11-Dec-24,Undisclosed,2025-04-14 01:53:07,3
Azimuth AI,5,semiconductors,http://www.azimuth-ai.com,11-Dec-24,Venture - Series Unknown,2025-04-14 01:53:07,3
Cohesity,2400,information technology & services,http://www.cohesity.com,10-Dec-24,Series H,2025-04-14 01:53:07,3
Speak,180,e-learning,http://www.speak.com,10-Dec-24,Series C,2025-04-14 01:53:07,3
Mainframe,5,information technology & services,http://www.mainfra.me,10-Dec-24,Seed,2025-04-14 01:53:07,3
Gyaan,39,information technology & services,http://www.gyaan.ai,10-Dec-24,Undisclosed,2025-04-14 01:53:07,3
WeaveGrid,92,information technology & services,http://www.weavegrid.com,10-Dec-24,Venture - Series Unknown,2025-04-14 01:53:07,3
WindBorne Systems,44,aviation & aerospace,http://www.windbornesystems.com,10-Dec-24,Venture - Series Unknown,2025-04-14 01:53:08,3
Exabits AI,9,0,http://www.exabits.ai,10-Dec-24,Seed,2025-04-14 01:53:08,3
Gentrace,8,information technology & services,http://www.gentrace.ai,10-Dec-24,Series A,2025-04-14 01:53:08,3
LambdaTest,530,information technology & services,http://www.lambdatest.com,10-Dec-24,Series D,2025-04-14 01:53:08,3
Aarvik Therapeutics,10,research,http://www.aarviktx.com,10-Dec-24,Seed,2025-04-14 01:53:21,4
WaveForms AI,0,information technology & services,http://www.waveforms.ai,10-Dec-24,Seed,2025-04-14 01:53:21,4
Wald.ai,15,,http://www.wald.ai,10-Dec-24,Seed,2025-04-14 01:53:21,4
Wildflower Health,63,hospital & health care,http://www.wildflowerhealth.com,10-Dec-24,Undisclosed,2025-04-14 01:53:21,4
Aampe,23,information technology & services,http://www.aampe.com,10-Dec-24,Series A,2025-04-14 01:53:21,4
Cala Health,82,medical devices,http://www.calahealth.com,9-Dec-24,Venture - Series Unknown,2025-04-14 01:53:21,4
Sofar Ocean,110,0,http://www.sofarocean.com,9-Dec-24,Undisclosed,2025-04-14 01:53:21,4
Friend,10,information technology & services,http://www.friend.com,9-Dec-24,Seed,2025-04-14 01:53:21,4
Lava,9,information technology & services,http://www.lava.xyz,9-Dec-24,Series A,2025-04-14 01:53:21,4
MiSalud,27,"health, wellness & fitness",http://www.misalud.ai,9-Dec-24,Series A,2025-04-14 01:53:21,4
Lucra Sports,26,information technology & services,http://www.lucrasports.com,5-Dec-24,Venture - Series Unknown,2025-04-14 01:53:21,4
Across AI,7,0,http://www.across.ai,5-Dec-24,Seed,2025-04-14 01:53:21,4
BITKRAFT Ventures,44,venture capital & private equity,http://www.bitkraft.vc,5-Dec-24,Private Equity,2025-04-14 01:53:21,4
Nuvig Therapeutics,18,research,http://www.nuvigtherapeutics.com,5-Dec-24,Series B,2025-04-14 01:53:21,4
FutureSearch,6,0,http://www.futuresearch.ai,5-Dec-24,Undisclosed,2025-04-14 01:53:21,4
Solana,290,information technology & services,http://www.solana.com,5-Dec-24,Private Equity,2025-04-14 01:53:21,4
Rubi Laboratories,30,biotechnology,http://www.rubi.earth,5-Dec-24,Grant,2025-04-14 01:53:21,4
East Oakland Youth Development Center,44,nonprofit organization management,http://www.eoydc.org,5-Dec-24,Grant,2025-04-14 01:53:21,4
Axiado Corporation,70,computer & network security,http://www.axiado.com,4-Dec-24,Series C,2025-04-14 01:53:21,4
Enterpret,39,information technology & services,http://www.enterpret.com,4-Dec-24,Series A,2025-04-14 01:53:21,4
HappyRobot,12,information technology & services,http://www.happyrobot.ai,4-Dec-24,Series A,2025-04-14 01:54:14,5
Offcall,0,hospital & health care,http://www.offcall.com,4-Dec-24,Seed,2025-04-14 01:54:14,5
Etestho,1,information technology & services,http://www.etestho.com,4-Dec-24,Pre-Seed,2025-04-14 01:54:14,5
Antheia,60,research,http://www.antheia.bio,3-Dec-24,Grant,2025-04-14 01:54:14,5
Aerospike,290,information technology & services,http://www.aerospike.com,3-Dec-24,Venture - Series Unknown,2025-04-14 01:54:14,5
Yurts Technologies Inc,56,information technology & services,http://www.yurts.ai,3-Dec-24,Series B,2025-04-14 01:54:14,5
The Tech Interactive,200,museums & institutions,http://www.thetech.org,3-Dec-24,Grant,2025-04-14 01:54:14,5
Maze Therapeutics,130,research,http://www.mazetx.com,3-Dec-24,Series D,2025-04-14 01:54:14,5
MakersHub,6,financial services,http://www.makershub.ai,3-Dec-24,Seed,2025-04-14 01:54:14,5
